Car,CarCode,Model,Volume,Weight,CO2
Toyota,15,Aygo,1000,790,99
Mitsubishi,11,Space Star,1200,1160,95
Skoda,13,Citigo,1000,929,95
Fiat,3,500,900,865,90
Mini,10,Cooper,1500,1140,105
VW,,Up!,1000,929,105
Skoda,13,Fabia,1400,1109,90
Mercedes,9,A-Class,1500,1365,92
Ford,4,Fiesta,1500,1112,98
Audi,1,A1,1600,1150,99
Hyundai,7,I20,1100,980,99
Suzuki,14,Swift,1300,990,101
Ford,4,Fiesta,1000,1112,99
Honda,5,Civic,1600,1252,94
Hundai,6,I30,1600,1326,97
Opel,12,Astra,1600,1330,97
BMW,2,1,1600,1365,99
Mazda,8,3,2200,1280,104
Skoda,13,Rapid,1600,1119,104
Ford,4,Focus,2000,1328,105
Ford,4,Mondeo,1600,1584,94
Opel,12,Insignia,2000,1428,99
Mercedes,9,C-Class,2100,1365,99
Skoda,13,Octavia,1600,1415,99
Volvo,,S60,2000,1415,99
Mercedes,9,CLA,1500,1465,102
Audi,1,A4,2000,1490,104
Audi,1,A6,2000,1725,114
Volvo,16,V70,1600,1523,109
BMW,2,5,2000,1705,114
Mercedes,9,E-Class,2100,1605,115
Volvo,16,XC70,2000,1746,117
Ford,4,B-Max,1600,1235,104
BMW,2,2,1600,1390,108
Opel,12,Zafira,1600,1405,109
Mercedes,9,SLK,2500,1395,120
