CarCode,Model,Volume,Weight,CO2
15,Aygo,1000,790,99
11,Space Star,1200,1160,95
13,Citigo,1000,929,95
3,500,900,865,90
10,Cooper,1500,1140,105
,Up!,1000,929,105
13,Fabia,1400,1109,90
9,A-Class,1500,1365,92
4,Fiesta,1500,1112,98
1,A1,1600,1150,99
7,I20,1100,980,99
14,Swift,1300,990,101
4,Fiesta,1000,1112,99
5,Civic,1600,1252,94
6,I30,1600,1326,97
12,Astra,1600,1330,97
2,1,1600,1365,99
8,3,2200,1280,104
13,Rapid,1600,1119,104
4,Focus,2000,1328,105
4,Mondeo,1600,1584,94
12,Insignia,2000,1428,99
9,C-Class,2100,1365,99
13,Octavia,1600,1415,99
,S60,2000,1415,99
9,CLA,1500,1465,102
1,A4,2000,1490,104
1,A6,2000,1725,114
16,V70,1600,1523,109
2,5,2000,1705,114
9,E-Class,2100,1605,115
16,XC70,2000,1746,117
4,B-Max,1600,1235,104
2,2,1600,1390,108
12,Zafira,1600,1405,109
9,SLK,2500,1395,120
