CarCode,Volume,Weight,CO2
15,1000,790,99
11,1200,1160,95
13,1000,929,95
3,900,865,90
10,1500,1140,105
,1000,929,105
13,1400,1109,90
9,1500,1365,92
4,1500,1112,98
1,1600,1150,99
7,1100,980,99
14,1300,990,101
4,1000,1112,99
5,1600,1252,94
6,1600,1326,97
12,1600,1330,97
2,1600,1365,99
8,2200,1280,104
13,1600,1119,104
4,2000,1328,105
4,1600,1584,94
12,2000,1428,99
9,2100,1365,99
13,1600,1415,99
,2000,1415,99
9,1500,1465,102
1,2000,1490,104
1,2000,1725,114
16,1600,1523,109
2,2000,1705,114
9,2100,1605,115
16,2000,1746,117
4,1600,1235,104
2,1600,1390,108
12,1600,1405,109
9,2500,1395,120
